"","CON02_T1","CON05_T1","CON06_T1","CON07_T1","CON08_T1","CON09_T1","CON10_T1","CON11_T1","CON12_T1","CON13_T1","CON14_T1","CON17_T1","CON18_T1","CON19_T1","CON20_T1","CON21_T1","CON22_T1"
"ACOT4",15,27,36,33,20,20,8,20,15,22,3,32,38,41,10,22,4
"ACOT6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACOT7",202,148,198,210,112,204,102,81,123,119,126,149,257,182,130,129,115
"ACOT8",431,514,689,524,336,788,362,357,351,373,397,463,800,664,357,362,302
"ACOT9",607,826,950,845,575,1194,604,551,548,568,659,902,1295,1244,573,611,511
"ACOX1",1013,2296,2732,2072,1256,1979,1225,1950,1621,1568,1952,1397,2201,5124,1172,1975,1064
"ACOX2",2,1,6,3,7,6,1,4,2,5,1,9,11,8,3,3,3
"ACOX3",204,259,289,299,140,326,187,131,193,144,184,207,371,284,119,134,125
"ACOXL",3,15,5,4,1,2,4,4,2,2,0,7,12,37,9,7,4
"ACOXL-AS1",1,2,0,0,0,1,2,3,0,0,0,0,0,3,0,1,0
"ACP1",762,907,1014,983,1055,1963,841,472,702,703,633,1049,1668,1540,833,780,687
"ACP2",227,342,542,373,260,442,232,253,166,302,237,354,667,564,253,221,200
"ACP3",239,531,436,420,258,363,235,384,352,305,475,288,512,530,222,370,259
"ACP4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACP5",952,954,1096,1244,666,1346,760,662,698,767,594,869,1591,934,1011,669,679
"ACP6",120,335,393,290,251,502,169,128,146,192,183,235,453,396,154,182,113
"ACP7",0,0,2,0,1,0,1,0,0,1,1,0,0,1,0,2,0
"ACR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRBP",687,793,1204,1796,2208,920,523,530,585,546,611,577,918,1163,1397,782,996
"ACRP1",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0
"ACRV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSBG1",16,36,20,47,25,25,13,14,12,9,12,26,53,24,37,53,35
"ACSBG2",0,1,5,1,0,3,0,0,0,1,0,0,2,4,0,0,0
"ACSF2",305,225,287,321,238,369,226,229,205,213,440,409,576,433,174,176,138
"ACSF3",695,1069,1200,1096,705,1551,779,581,589,705,643,1160,1949,1726,587,599,480
"ACSL1",6229,13191,17386,7291,2996,11199,9781,21279,5968,7910,14101,4682,5991,15029,7668,7012,4059
"ACSL3",502,618,743,624,491,984,517,431,381,485,506,747,1228,1241,377,419,306
