Gene	GSM3288224_Sample_01-TI_Fe73	GSM3288229_Sample_03-TITD_Fe46	GSM3288232_Sample_04-TITD_Fe50	GSM3288235_Sample_05-TITD_Fe80	GSM3288238_Sample_06-TITD_Fe28	GSM3288241_Sample_07-TI_Fe77	GSM3288246_Sample_09-TITD_tripletC	GSM3288249_Sample_10-TI_tripletH	GSM3288252_Sample_11-TITD_tripletQ	GSM3288255_Sample_12-TITD_tripletW	GSM3288256_Sample_12-TITD_exTM_tripletW	GSM3288258_Sample_13-TITD_tripletS	GSM3288261_Sample_14-TI_tripletA	GSM3288264_Sample_15-TITD_tripletG	GSM3288268_Sample_16-TITD_tripletJ	GSM3288276_Sample_18-TI_tripletT
TFAP2C	17	1	3	9	1	3	2	1	5	2	1	2	5	1	7	6
TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAP2E	60	9	7	16	14	83	2	3	12	6	8	163	8	15	8	4
TFAP4	141	307	229	446	270	284	37	12	44	25	41	243	53	144	45	35
TFB1M	387	243	254	257	244	197	38	18	143	31	74	200	151	229	160	106
TFB2M	22	458	280	259	340	121	54	16	109	61	130	192	108	176	178	121
TFCP2	174	567	470	726	602	511	226	110	550	265	546	936	473	826	615	483
TFCP2L1	81	0	3	2	4	7	0	0	0	0	2	9	1	1	0	3
TFDP1	313	3144	2579	4905	3459	1256	1086	1099	4264	2854	12787	2091	4365	7827	6684	7143
TFDP2	3077	1914	1845	3006	2195	1271	2428	2667	5712	4789	5524	4686	3092	4685	5386	5384
TFDP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
